autID,nume,prenume
627,Furse,Katharine
628,Murray,D. L. (David Leslie)
629,Kieviet,Cornelis Johannes
630,Ward,John
631,De Windt,Harry
632,Huygens,Constantijn
633,Burt,Katharine Newlin
634,Tarkington,Booth
635,Hamsun,Knut
636,Wilderspin,Samuel
637,Chesnutt,Charles W. (Charles Waddell)
638,Moore,Frederick Ferdinand
639,Leighton,Robert
640,Abbott,Jacob
641,David,Mrs. (Fanny)
642,John,C.E.
643,Banerjea,S. B.
644,Carroll,Lewis
645,Clay,Albert Tobias
646,Jastrow,Morris
647,Beethoven,Ludwig van
648,Wetterau,John Moncure
649,Ruhl,Arthur
650,Marcantonio,Vito
651,Richard,Sir
652,Aldrich,Mildred
653,Johnson,James Weldon
654,Smith,Elva Sophronia
655,Picton,J. Allanson (James Allanson)
656,Morse,Samuel Finley Breese
657,Davis,Richard Harding
658,Housman,Laurence
659,Harper,Frances Ellen Watkins
660,Grimm,Jacob
661,Grimm,Wilhelm
662,Benedict,Laura Estelle Watson
663,Gardner,Fletcher
664,Maxfield,Berton L.
665,Millington,W. H.
666,Bayliss,Clara Kern
667,Brinton,Daniel G. (Daniel Garrison)
668,Jacobs,Harriet A. (Harriet Ann)
669,Stephen,Leslie
670,Trusta,H.
671,Loti,Pierre
672,Lavalley,Gaston
673,Farrère,Claude
674,Népoty,Lucien
675,Tissandier,Gaston
676,Pfeiffer,Ida
677,Aleramo,Sibilla
678,Barbour,Ralph Henry
679,Gide,André
680,Cohen,Octavus Roy
681,Fénelon,François de Salignac de La Mothe-
682,Middleton,Richard
683,Massis,Henri
684,Cyr,Ellen M.
685,Massart,Jean
686,Balzac,Honoré de
687,Wharton,Edith
688,Williams,Helen Maria
689,Cheever,Harriet A. (Harriet Anna)
690,Henty,G. A. (George Alfred)
691,Allston,Washington
692,Porterfield,Allen Wilson
693,Mill,Mrs. (Jean Oliver)
694,Hazlitt,William
695,Barnum,Richard
696,Pérez Galdós,Benito
697,Alvar,16th cent.
698,Falke,Gustav
699,Doctorow,Cory
700,Quigley,Dorothy
701,Nevinson,Henry Woodd
702,Cicero,Marcus Tullius
703,Arroyo de la Cuesta,Felipe
704,Ainsworth,William Harrison
705,Stuart,Ruth McEnery
706,Whyte-Melville,G. J. (George John)
707,Souttar,Henry Sessions
708,Ainger,Alfred
709,Hartness,James
710,Stoddard,John L. (John Lawson)
711,Bonte,Willard
712,Ramakrishna Pillai,T. (Thottakadu)
713,Fenn,George Manville
714,Corner,Miss (Julia)
715,Stratton-Porter,Gene
716,Falckenberg,Richard
