opID,titlu,volum
357,Damon and Delia: A Tale,
358,Dave Darrin's Third Year at Annapolis; Or,
359,The Pupil,
360,Dotty Dimple at Play,
361,Dragon's blood,
362,Miss Prudence: A Story of Two Girls' Lives.,
363,The Rover Boys at College; Or,
364,Bull Hunter,
365,The Gospel of the Pentateuch: A Set of Parish Sermons,
366,David: Five Sermons,
367,Alias the Lone Wolf,
368,Poems,
369,Snubby Nose and Tippy Toes,
370,Rose o' the River,
371,Fruitfulness,
372,The Mirror of Literature,
373,The Mirror of Literature,
374,The European Anarchy,
375,Van 't  viooltje dat weten wilde,
376,Children's Rights: A Book of Nursery Logic,
377,A Select Collection of Old English Plays,7
378,Lady into Fox,
379,With the Turks in Palestine,
380,An Antarctic Mystery,
381,Poems,
382,Dab Kinzer: A Story of a Growing Boy,
383,The Great Events by Famous Historians,21
384,The Velvet Glove,
385,The Works of Charles and Mary Lamb — Volume 2,
386,Autumn Anthem,
387,Domestic Manners of the Americans,
388,C'Était ainsi...,
389,Free from School,
390,Go to Sea Once More,
391,Naar het middelpunt der Aarde,
392,The Man Against the Sky: A Book of Poems,
393,The Works of Samuel Johnson,6
394,The Works of Samuel Johnson,10
395,The Works of Samuel Johnson,
396,Satyros oder Der vergötterte Waldteufel,
397,Die Laune des Verliebten,
398,Travels in Morocco,
399,Travels in Morocco,
400,Life of Johnson,4
401,The Boss of Little Arcady,
402,Aunt Jane's Nieces at Millville,
403,Joe Wilson and His Mates,
404,Kitty's Class Day and Other Stories,
405,The Creative Process in the Individual,
406,Sketches of the East Africa Campaign,
407,The Bravo: A Tale,
408,Yeast: a Problem,
409,Precaution: A Novel,
410,Freedom's Battle,
411,Poems,
412,The Vizier of the Two-Horned Alexander,
413,Memoir and Diary of John Yeardley,
414,The Life of John Bunyan,
415,Sustained honor: The Age of Liberty Established,
416,The Cinema Murder,
417,Bunch Grass: A Chronicle of Life on a Cattle Ranch,
418,The Middle Temple Murder,
419,The Ramblin' Kid,
420,England's Antiphon,
421,American Indian Stories,
422,The Evil Guest,
423,Autobiography,
424,At Love's Cost,
425,Style,
426,Bible Stories and Religious Classics,
427,The History of a Crime,
428,Memoir of William Watts McNair,
429,The Maternal Management of Children,
430,Le Pays de l'or,
431,Histoire de la Révolution française,
432,Thoughts on the Necessity of Improving the Condition of the Slaves in the British Colonies,
433,A Century Too Soon: The Age of Tyranny,
434,A Collection of Old English Plays,1
435,Northern Trails,
436,Missionary Travels and Researches in South Africa,
437,The Edinburgh Lectures on Mental Science,
438,The Wolf's Long Howl,
439,The Reminiscences of Sir Henry Hawkins (Baron Brampton),
440,Making the House a Home,
441,Stolen Treasure,
442,Joy and Power: Three Messages with One Meaning,
443,Andy the Acrobat,
444,Affairs of State,
445,The American Child,
446,The Story of Louis Riel: the Rebel Chief,
447,Inaugural Address of Franklin Delano Roosevelt,
448,The Three Taverns: A Book of Poems,
449,Historie van Mejuffrouw Sara Burgerhart,
450,Personal Memoir of Daniel Drayton,
451,A Man and His Money,
452,'Twixt France and Spain,
453,Man-Size,
454,Clarinet Squawk,
455,Heart Bowed Down,
456,A Perfect Day,
457,Bring Back My Blushing Rose ("Sally Won't You Come Back"),
458,The Crisis of the Naval War,
459,Shakespeare's Sonnets,
460,The Powers and Maxine,
461,By the Sapphire Sea,
462,El Choclo Tango,
463,Fancy Little Nancy,
464,I Love You,
465,Nights of Gladness: Waltz,
466,There's a Little Bit of Bad in Every Good Little Girl,
467,Love,
468,The Money Moon: A Romance,
469,The Forest Monster of Oz,
470,A Reading of Life,
471,The Principles of Success in Literature,
472,The Life of Lord Byron,
473,Caesar Dies,
474,Triplets : Fox Trot,
475,Caprice Viennois,
476,Torquato Tasso,
477,Die natürliche Tochter,
478,Scientific Essays and Lectures,
479,Die Aufgeregten,
480,Miss Lulu Bett,
481,The Story of Evolution,
482,Trips to the Moon,
483,Thirty Years a Slave,
484,Aunt Jane's Nieces out West,
485,A Flock of Girls and Boys,
486,Wyandotté; Or,
487,The Atlantic Monthly,2
488,Erick and Sally,
489,Pulpit and Press (6th Edition),
490,Up the Hill and Over,
491,From Yauco to Las Marias,
492,Extract from Captain Stormfield's Visit to Heaven,
493,Tutt and Mr. Tutt,
494,The Green Mouse,
495,La Comédie de la mort,
